channel_index,channel_name,panel_name_normalized,in_panel_31,in_published_cell_tables,v2_variant_of,six_primary_target,author_gating_removed,use_decision,notes
48,C3,,False,False,,False,False,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集
49,Vimentin,,False,False,,False,False,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集
50,PanCK,PanCK,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
51,S100A9,S100A9,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
52,HAPLN1,,False,False,,False,False,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集
53,CD68,CD68,True,True,,True,False,PRIMARY_TARGET,"六主目标; HGNC=CD68(标准符号,UniProt待核); 图像索引53"
54,GranzymeB,GranzymeB,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
55,MMP9,MMP9,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
56,Col1a1,,False,False,,False,False,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集
57,PD1,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
58,TNC,TNC,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
59,Col4a1,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
60,EGFR,EGFR,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
61,TP63,TP63,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
62,Cytochromec,Cytochromec,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
63,LAG3,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
64,TFF1,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
65,CD11b,CD11b,True,True,,False,False,COVISIBLE_INPUT,已发表31标记分析集内; 可见输入/ridge协变量候选
66,Tbet,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
67,CLDN4,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
68,Caspase3,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
69,CD45,CD45,True,True,,True,True,PRIMARY_TARGET,"六主目标; HGNC=PTPRC(标准符号,UniProt待核); 图像索引69"
70,SPRR1Bv2,,False,False,SPRR1B,False,True,NOT_IN_PUBLISHED_TABLES,"SPRR1B的v2复测通道; 是否=分析表列待分析表到位后相关性裁决; v2歧义仅CD45涉表,其余v2双通道均不在已发表31标记表内,无需裁决"
71,CD4,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
72,CD3,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
73,LRRC15,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
74,CTLA4,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
75,FGB,,False,False,,False,True,NOT_IN_PUBLISHED_TABLES,成像但未入31标记已发表分析集; 作者门控剔除
76,CD19v2,,False,False,CD19,False,True,NOT_IN_PUBLISHED_TABLES,"CD19的v2复测通道; 是否=分析表列待分析表到位后相关性裁决; v2歧义仅CD45涉表,其余v2双通道均不在已发表31标记表内,无需裁决"
